Altium Designer Pick and Place Locations
D:\DATN\Hardware\IClogicTester_V1\Project Outputs for IClogicTester_V1\Pick Place for IClogicTest_PCB.csv

========================================================================================================================
File Design Information:

Date:       26/03/25
Time:       15:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"H6","XH2.54_2Y","TopLayer","JST-XH-02-PACKAGE-LONG-PAD","85.2319","86.3010","180","XH2.54_2Y"
"H3","XH2.54_2Y","TopLayer","JST-XH-02-PACKAGE-LONG-PAD","92.9703","86.2883","180","XH2.54_2Y"
"D3","SS54F","TopLayer","SMAF","71.6995","36.9107","0",""
"R57","10K","TopLayer","R0603","18.6626","8.4246","180","SMD Resistor 0603"
"R56","100","TopLayer","R0603","18.6385","10.2759","0","SMD Resistor 0603"
"M8","MOSFETN_SOT23","TopLayer","SOT23","18.5889","5.6609","180","SOT-23"
"D8","1N4148WS","TopLayer","SOD123","15.4622","6.4307","0",""
"BZ1","DIP_BUZZER","TopLayer","DIP_BUZZER","8.1329","8.0563","270",""
"R55","4.7K","TopLayer","R0603","25.7649","23.7784","90","SMD Resistor 0603"
"R54","4.7K","TopLayer","R0603","23.7231","23.7784","90","SMD Resistor 0603"
"R19","1K","TopLayer","R0603","27.8066","23.7784","90","SMD Resistor 0603"
"R18","10K","TopLayer","R0603","36.0489","39.6539","0","SMD Resistor 0603"
"R17","10K","TopLayer","R0603","48.0504","15.9684","270","SMD Resistor 0603"
"R16","10K","TopLayer","R0603","25.5333","31.7545","270","SMD Resistor 0603"
"R15","4.7K","TopLayer","R0603","25.8127","19.8280","270","SMD Resistor 0603"
"O1","25MHz","TopLayer","CRYSTAL_5032","34.9805","27.0301","90",""
"J","USBA_X1","TopLayer","USB_A_X1","12.5485","40.7861","270","USB-A (USB TYPE-A) USB 2.0 Receptacle Connector 4 Position Surface Mount, Right Angle"
"IC4","DS3231","TopLayer","SOP-16","15.4749","20.2483","180","Real Time Clock (RTC) IC Clock/Calendar - I²C, 2-Wire Serial 16-SOIC (0.295, 7.50mm Width)"
"IC3","STM32F407VET6","TopLayer","LQFP100","49.4000","26.7576","0","ARM® Cortex®-M4 STM32F4 Microcontroller IC 32-Bit Single-Core 168MHz 512KB (512K x 8) FLASH 100-LQFP (14x14)"
"IC2","LD1117","TopLayer","SOT223","40.3390","50.4220","270",""
"H2","MalePin_1x3","TopLayer","MALEPIN_1x3","17.9260","45.2038","90",""
"H1","MalePin_1x4","TopLayer","MALEPIN_1x4","62.7824","36.9742","180",""
"D5","SS54F","TopLayer","SMAF","4.9974","20.3991","270",""
"D4","SS54F","TopLayer","SMAF","7.8676","20.3991","270",""
"C27","10uF","TopLayer","C0603","23.7553","19.8279","90",""
"C26","100nF","TopLayer","C0603","23.7553","31.7164","90",""
"C25","2.2uF","TopLayer","C0603","61.7000","29.2000","180",""
"C24","2.2uF","TopLayer","C0603","55.2420","16.0896","90",""
"C23","20pF","TopLayer","C0603","37.9285","25.0629","270",""
"C22","20pF","TopLayer","C0603","37.9285","29.0097","90",""
"C21","100nF","TopLayer","C0603","27.8545","19.8279","90",""
"C20","100nF","TopLayer","C0603","61.7000","31.0000","180",""
"C19","100nF","TopLayer","C0603","38.9688","20.6711","270",""
"C18","100nF","TopLayer","C0603","37.1810","20.6711","270",""
"C17","100nF","TopLayer","C0603","35.3540","20.6855","270",""
"C16","100nF","TopLayer","C0603","57.2000","16.1000","90",""
"C15","100nF","TopLayer","C0603","38.8442","34.5485","0",""
"C14","10uF","TopLayer","C0603","47.4760","51.9460","270",""
"C13","100nF","TopLayer","C0603","45.5710","51.9460","270",""
"C12","100nF","TopLayer","C0603","37.4586","46.0547","180",""
"C11","10uF","TopLayer","C0603","37.4713","44.4545","180",""
"BT2","cr1220","BottomLayer","cr1220","11.2206","29.6717","180","BATTERY HOLDER COIN 12MM SMD"
"BT1","SPST_DIP","TopLayer","SPST_BUTTON_2DIP","30.3466","35.0583","270",""
"*","MicroSD","TopLayer","SD_MiSD-PP-9P-V1","31.7541","11.5761","180",""
"FL1","FerriteBeads_0805","TopLayer","FerriteBeads_0805","47.1365","78.5509","270",""
"C34","10uF","TopLayer","C0603","49.0545","78.5409","90",""
"C33","100nF","TopLayer","C0603","50.9545","78.5409","90",""
"D7","SS54F","TopLayer","SMAF","46.0819","64.7508","90",""
"U14","TXS0108EPWRG4","TopLayer","SOP65P640X120-20N","68.3000","24.9616","0","8-bit bidirectional voltage-level shifter for open-drain and push-pull application 20-TSSOP -40 to 85"
"U13","TXS0108EPWRG4","TopLayer","SOP65P640X120-20N","51.7000","43.1000","90","8-bit bidirectional voltage-level shifter for open-drain and push-pull application 20-TSSOP -40 to 85"
"U12","TXS0108EPWRG4","TopLayer","SOP65P640X120-20N","129.8892","28.2952","90","8-bit bidirectional voltage-level shifter for open-drain and push-pull application 20-TSSOP -40 to 85"
"U11","TXS0108EPWRG4","TopLayer","SOP65P640X120-20N","52.2675","8.9636","270","8-bit bidirectional voltage-level shifter for open-drain and push-pull application 20-TSSOP -40 to 85"
"C56","100nF","TopLayer","C0603","47.2250","40.6916","90",""
"C55","100nF","TopLayer","C0603","48.4314","48.1830","0",""
"C54","100nF","TopLayer","C0603","66.2876","29.5701","0",""
"C53","100nF","TopLayer","C0603","70.3750","29.5000","180",""
"C52","100nF","TopLayer","C0603","125.1394","26.2935","90",""
"C51","100nF","TopLayer","C0603","125.1648","30.2559","270",""
"C50","100nF","TopLayer","C0603","56.9023","10.8503","270",""
"C49","100nF","TopLayer","C0603","56.9000","7.2000","90",""
"J1","KF128-2P","TopLayer","KF128-5.08-2P","5.6578","77.4113","270",""
"R130","Varistor_07D","TopLayer","Varistor_07D","13.6394","74.7840","270",""
"L2","10uH","TopLayer","L0630","28.0352","82.9101","270","HIGH POWER INDUCTOR 1040"
"F1","Fuse_Holder_1808","TopLayer","Fuse_Holder_1808","8.8963","86.1613","0","160 mA 125 V AC 125 V DC Fuse Board Mount (Cartridge Style Excluded) Requires Holder, Surface Mount 2-SMD, Square End Block with Holder"
"C48","100uF 50V","TopLayer","CAP_AL_8x12.5","20.0207","74.9718","90","Aluminum Electrolytic Capacitors - Radial Leaded 50VDC 1200uF 10000H 16x25mm"
"C47","100uF 50V","TopLayer","CAP_AL_8x12.5","19.6405","84.3164","270","Aluminum Electrolytic Capacitors - Radial Leaded 50VDC 1200uF 10000H 16x25mm"
"U10","74HC573D,653","TopLayer","SOIC127P-20N","99.9848","69.4954","180","74HC Series 5 V 3-State Octal D-Type Transparent Latch Surface Mount - SOIC-20"
"U9","74HC573D,653","TopLayer","SOIC127P-20N","112.3848","69.4954","180","74HC Series 5 V 3-State Octal D-Type Transparent Latch Surface Mount - SOIC-20"
"U8","74HC164D,653","TopLayer","SOIC127P600X175-14N","129.3939","62.4631","270","Shift Shift Register 1 Element 8 Bit 14-SO"
"U7","74HC164D,653","TopLayer","SOIC127P600X175-14N","70.3000","10.7000","270","Shift Shift Register 1 Element 8 Bit 14-SO"
"U6","74HC573D,653","TopLayer","SOIC127P-20N","78.3752","48.3950","180","74HC Series 5 V 3-State Octal D-Type Transparent Latch Surface Mount - SOIC-20"
"U5","74HC573D,653","TopLayer","SOIC127P-20N","82.7000","29.2000","0","74HC Series 5 V 3-State Octal D-Type Transparent Latch Surface Mount - SOIC-20"
"U4","74HC573D,653","TopLayer","SOIC127P-20N","65.7000","48.4000","180","74HC Series 5 V 3-State Octal D-Type Transparent Latch Surface Mount - SOIC-20"
"U3","74HC164D,653","TopLayer","SOIC127P600X175-14N","132.3939","46.7405","0","Shift Shift Register 1 Element 8 Bit 14-SO"
"U2","74HC573D,653","TopLayer","SOIC127P-20N","100.4128","22.2844","180","74HC Series 5 V 3-State Octal D-Type Transparent Latch Surface Mount - SOIC-20"
"U1","74HC573D,653","TopLayer","SOIC127P-20N","112.3128","22.2844","180","74HC Series 5 V 3-State Octal D-Type Transparent Latch Surface Mount - SOIC-20"
"S1","SOCKET_1.27SMD","TopLayer","MALEPIN_2x10","106.5628","45.1344","90","SOCKET_1.27mmSMD_TO_2.54mmTHROUGHHOLE"
"R97","0","TopLayer","R0603","115.6128","11.7902","270","SMD Resistor 0603"
"R96","0","TopLayer","R0603","98.8786","79.0954","90","SMD Resistor 0603"
"R95","100","TopLayer","R0603","113.8128","11.7899","90","SMD Resistor 0603"
"R94","100","TopLayer","R0603","100.6786","79.0957","270","SMD Resistor 0603"
"R93","10K","TopLayer","R0603","112.0128","11.7899","90","SMD Resistor 0603"
"R92","10K","TopLayer","R0603","102.4848","79.0954","270","SMD Resistor 0603"
"R91","0","TopLayer","R0603","104.2848","79.0954","90","SMD Resistor 0603"
"R90","0","TopLayer","R0603","110.2128","11.7902","270","SMD Resistor 0603"
"R89","100","TopLayer","R0603","108.4128","11.7899","90","SMD Resistor 0603"
"R88","100","TopLayer","R0603","106.0848","79.0954","270","SMD Resistor 0603"
"R87","10K","TopLayer","R0603","106.6128","11.7899","90","SMD Resistor 0603"
"R86","10K","TopLayer","R0603","107.8848","79.0954","270","SMD Resistor 0603"
"R85","0","TopLayer","R0603","109.6848","79.0954","90","SMD Resistor 0603"
"R84","0","TopLayer","R0603","104.8066","11.7902","270","SMD Resistor 0603"
"R83","100","TopLayer","R0603","103.0066","11.7899","90","SMD Resistor 0603"
"R82","100","TopLayer","R0603","111.4848","79.0954","270","SMD Resistor 0603"
"R81","10K","TopLayer","R0603","101.2065","11.7899","90","SMD Resistor 0603"
"R80","10K","TopLayer","R0603","113.2848","79.0954","270","SMD Resistor 0603"
"R79","0","TopLayer","R0603","115.0848","79.0954","90","SMD Resistor 0603"
"R78","0","TopLayer","R0603","99.4128","11.7902","270","SMD Resistor 0603"
"R77","100","TopLayer","R0603","97.6128","11.7899","90","SMD Resistor 0603"
"R76","100","TopLayer","R0603","116.8848","79.0954","270","SMD Resistor 0603"
"R75","10K","TopLayer","R0603","95.8128","11.7899","90","SMD Resistor 0603"
"R74","10K","TopLayer","R0603","118.6848","79.0954","270","SMD Resistor 0603"
"R53","10K","TopLayer","R0603","66.3000","20.4000","0","SMD Resistor 0603"
"R52","10K","TopLayer","R0603","56.3000","39.4000","270","SMD Resistor 0603"
"R51","10K","TopLayer","R0603","134.6122","26.3316","90","SMD Resistor 0603"
"R50","10K","TopLayer","R0603","47.5170","9.7835","270","SMD Resistor 0603"
"R49","1k","TopLayer","R0603","118.0575","52.7557","90","SMD Resistor 0603"
"R48","1k","TopLayer","R0603","118.0575","37.8807","90","SMD Resistor 0603"
"R47","1k","TopLayer","R0603","115.4575","52.7557","90","SMD Resistor 0603"
"R46","1k","TopLayer","R0603","115.4575","37.8807","90","SMD Resistor 0603"
"R45","1k","TopLayer","R0603","112.9575","52.7557","90","SMD Resistor 0603"
"R44","1k","TopLayer","R0603","112.9575","37.8807","90","SMD Resistor 0603"
"R43","1k","TopLayer","R0603","110.3575","52.7557","90","SMD Resistor 0603"
"R42","1k","TopLayer","R0603","110.3575","37.8807","90","SMD Resistor 0603"
"R41","1k","TopLayer","R0603","107.8575","52.7557","90","SMD Resistor 0603"
"R40","1k","TopLayer","R0603","107.8575","37.8807","90","SMD Resistor 0603"
"R39","1k","TopLayer","R0603","105.2575","52.7557","90","SMD Resistor 0603"
"R38","1k","TopLayer","R0603","105.2172","37.8793","90","SMD Resistor 0603"
"R37","1k","TopLayer","R0603","102.7575","52.7557","90","SMD Resistor 0603"
"R36","1k","TopLayer","R0603","102.7630","37.8537","90","SMD Resistor 0603"
"R35","1k","TopLayer","R0603","100.2575","52.7557","90","SMD Resistor 0603"
"R34","1k","TopLayer","R0603","100.1575","37.8807","90","SMD Resistor 0603"
"R33","1k","TopLayer","R0603","97.6575","52.7557","90","SMD Resistor 0603"
"R32","1k","TopLayer","R0603","97.6575","37.8807","90","SMD Resistor 0603"
"R31","1k","TopLayer","R0603","95.1575","52.7307","90","SMD Resistor 0603"
"R30","1k","TopLayer","R0603","95.1575","37.8557","90","SMD Resistor 0603"
"R29","10K","TopLayer","R0603","44.0000","79.0000","90","SMD Resistor 0603"
"R28","10K","TopLayer","R0603","44.0000","75.1000","270","SMD Resistor 0603"
"R27","10K","TopLayer","R0603","82.4819","61.7778","0","SMD Resistor 0603"
"R26","4.7K","TopLayer","R0603","81.5319","67.1328","0","SMD Resistor 0603"
"R25","0","TopLayer","R0603","83.9619","77.7792","270","SMD Resistor 0603"
"R24","120","TopLayer","R0603","81.2800","79.5528","270","SMD Resistor 0603"
"R23","0","TopLayer","R0603","86.4679","77.7792","270","SMD Resistor 0603"
"R22","1K","TopLayer","R0603","81.2990","75.5822","270","SMD Resistor 0603"
"R21","10K","TopLayer","R0603","88.1319","61.7778","180","SMD Resistor 0603"
"R20","4.7K","TopLayer","R0603","88.9319","67.1328","0","SMD Resistor 0603"
"R14","1.8K","TopLayer","R0603","30.7560","55.7210","0","SMD Resistor 0603"
"R13","4.7K","TopLayer","R0603","30.7420","57.6260","180","SMD Resistor 0603"
"R12","10K","TopLayer","R0603","22.1170","60.1390","180","SMD Resistor 0603"
"R11","10K","TopLayer","R0603","25.9270","58.2340","180","SMD Resistor 0603"
"R10","10K","TopLayer","R0603","27.0700","66.7430","270","SMD Resistor 0603"
"R9","100","TopLayer","R0603","22.1170","58.2340","180","SMD Resistor 0603"
"R8","4.7K","TopLayer","R0603","26.1000","60.2000","0","SMD Resistor 0603"
"R7","10K","TopLayer","R0603","22.2000","55.5000","270","SMD Resistor 0603"
"R6","10K","TopLayer","R0603","25.1650","66.7290","90","SMD Resistor 0603"
"R5","100","TopLayer","R0603","24.0000","55.5000","90","SMD Resistor 0603"
